ds,yhat,yhat_lower,yhat_upper
2015-01-03,233.565530123341,-568.201824745675,1002.24969111589
2015-01-04,219.856631874735,-536.421803332896,1094.01549194024
2015-01-05,214.267295237023,-582.07217891784,1052.07684807044
2015-01-06,215.560395941413,-628.713596250903,1000.53099365475
2015-01-07,248.636793254382,-490.339875540251,1066.95179989647
2015-01-09,215.186589365267,-603.133724459265,993.226619337331
2015-01-10,231.314378413456,-575.688310213985,1044.68271984853
2015-01-11,220.83445662822,-549.539820182336,1002.69672919455
2015-01-13,223.565365693039,-530.292054440724,1038.06969722415
2015-01-14,260.257978245223,-524.412178237717,1037.99835882857
2015-01-15,274.023235332239,-545.73951361509,1111.96716154894
2015-01-16,233.748531287756,-513.988296738659,1007.27294314745
2015-01-18,245.266393553327,-566.820934687679,1098.68017539946
2015-01-19,245.412340276841,-566.582781800394,979.491902031918
2015-01-20,252.022140964146,-559.705786857112,1011.32688240575
2015-01-23,263.418613348222,-545.30467174029,1030.92972033577
2015-01-26,269.464128093471,-538.847519009642,1075.84982393337
2015-01-27,272.662857625773,-491.798827176027,1068.73421903524
2015-01-28,306.342455779631,-504.575290033942,1133.17256770834
2015-01-30,269.817535238212,-529.26825905979,1029.04697454038
2015-01-31,282.158742376312,-578.71190588213,1035.33917039937
2015-02-01,266.377603299538,-568.039302764092,1053.54737875044
2015-02-02,257.45428689536,-571.509194621558,1077.80078489589
2015-02-03,254.135644566275,-563.939744754605,1154.5149939511
2015-02-04,281.335831629026,-557.326777633342,1058.04219890598
2015-02-06,232.544671416809,-569.056471692519,1069.6037925835
2015-02-07,239.386074551552,-509.820987513994,987.038074312215
2015-02-08,218.710388977293,-566.2145896395,1064.40076156627
2015-02-11,223.810946676684,-608.934593776936,1036.26745647706
2015-02-12,225.572091622693,-578.984664676955,1069.34504423518
2015-02-14,181.081862145198,-657.790246984215,1013.03209482099
2015-02-15,162.386185935856,-524.185304083797,993.809229958679
2015-02-16,152.403341591872,-683.797880041551,915.484934067951
2015-02-17,149.959952086888,-641.10550932974,978.626710306316
2015-02-18,180.010785136943,-616.958160155067,982.631650679052
2015-02-20,142.805263653487,-626.677875355642,924.168554853888
2015-02-21,158.2576006868,-583.186205227931,947.880092077687
2015-02-22,147.921659559091,-654.587163427519,972.363698206071
2015-02-23,146.743611973825,-635.100075541397,964.187401402896
2015-02-24,153.388952143708,-638.817270555332,905.167504054026
2015-02-27,173.506377785793,-640.06120199713,988.361194707807
2015-03-01,195.11311169517,-580.587939711549,1003.74496163021
2015-03-02,201.195221308059,-606.020059310823,974.939588574636
2015-03-03,214.258428979385,-597.292703124084,1082.22082633518
2015-03-04,258.97039769476,-563.176853747191,1062.29126752596
2015-03-05,280.455663537009,-485.238021063263,1073.62163306072
2015-03-07,273.527754466647,-535.687105253966,1055.16715971957
2015-03-10,289.150275260947,-503.413301735315,1089.28054971733
2015-03-11,331.086977772845,-468.957143240841,1095.53642749718
2015-03-14,331.029796660561,-482.572425548574,1114.58882228408
2015-03-15,322.875703021735,-469.267766381978,1098.51253548471
2015-03-16,321.275261425847,-502.305110140352,1108.90441070905
2015-03-17,324.919332182369,-503.71925282575,1083.48015788685
2015-03-18,358.667301940311,-470.375657053731,1148.81734902882
2015-03-19,367.861539666435,-437.141691916335,1170.42967945376
2015-03-21,333.341605565188,-543.141312520171,1145.23451192757
2015-03-22,317.030705388524,-512.101804086779,1108.00825066337
2015-03-23,307.639422685702,-475.00668933099,1094.90676787248
2015-03-24,303.982108107829,-455.705434469965,1138.98010177633
2015-03-25,331.027358946294,-471.824746819342,1096.05595280949
2015-03-26,334.210533323023,-527.093693534527,1112.95123493689
2015-03-28,290.025692326367,-473.676170834251,1094.12202008693
2015-03-29,270.154548499035,-504.785701184892,1113.1087040523
2015-03-30,258.081203626332,-493.329795275886,1038.5639839372
2015-03-31,252.618590317189,-598.494942808456,1064.08142183906
2015-04-01,278.715616721914,-543.83985256094,1073.09679157342
2015-04-02,281.770908753496,-512.519152927498,1130.95601489296
2015-04-04,239.569100849387,-570.546521091094,1090.03948098321
2015-04-05,221.666129286493,-648.61228506204,1016.05023616062
2015-04-06,212.100374897963,-593.231959123746,1047.24836935869
2015-04-07,209.548889924917,-592.785769862047,984.463459897997
2015-04-08,238.907680384574,-636.476739957555,1031.15966719219
2015-04-11,210.682251119669,-617.915674864919,960.481909826836
2015-04-12,196.49076822397,-630.315382714138,1023.19938121785
2015-04-13,190.533460596993,-589.765198417677,995.035980528524
2015-04-15,224.064903973456,-558.704209790551,1017.39612371789
2015-04-16,233.599400250626,-610.691540180975,990.539962790342
2015-04-18,203.757785002243,-590.830901449583,998.477942224524
2015-04-19,191.52077267204,-590.042009960298,1028.03174315073
2015-04-20,187.166288908487,-593.645280517585,982.832986560319
2015-04-21,189.356011580404,-623.133091605689,1043.71609473458
2015-04-22,222.904254060349,-578.288481211848,953.41461567378
